TaskId,Name,Start,Position,time
0,R,807.0,WP1_TOP,335
0,R,807.0,WP1,250
0,G,807.0,WP1,44
0,M,807.0,WP1_TOP,250
0,M,807.0,A1_TOP,125
0,A,807.0,A1_TOP,120
0,RL,807.0,A1_TOP,44
0,R,807.0,AGENT,278
1,R,1085.0,WP2_TOP,193
1,R,1085.0,WP2,251
1,G,1085.0,WP2,44
1,M,1085.0,WP2_TOP,251
1,M,1085.0,A2_TOP,153
1,A,1085.0,A2_TOP,120
1,M,1085.0,BIN1_TOP,668
1,RL,1085.0,BIN1_TOP,44
1,R,1085.0,AGENT,614
8,R,2055.0,WP9_TOP,556
8,R,2055.0,WP9,248
8,G,2055.0,WP9,44
8,M,2055.0,WP9_TOP,248
8,M,2055.0,BIN1_TOP,723
8,RL,2055.0,BIN1_TOP,44
8,R,2055.0,AGENT,614
4,R,2693.0,DA5_TOP,417
4,DA,2693.0,DA5_TOP,120
4,M,2693.0,WP5_TOP,166
4,M,2693.0,BIN1_TOP,806
4,RL,2693.0,BIN1_TOP,44
4,R,2693.0,AGENT,614
5,R,3307.0,DA6_TOP,386
5,R,3307.0,DA6,250
5,G,3307.0,DA6,44
5,M,3307.0,DA6_TOP,250
5,DA,3307.0,DA6_TOP,120
5,M,3307.0,BIN1_TOP,692
5,RL,3307.0,BIN1_TOP,44
5,R,3307.0,AGENT,614
